round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_ece,fed_auprc,fed_f1_best_threshold,fed_auprc_lift,fed_f1,fed_brier,fed_auroc,fed_prevalence,fed_f1_best,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium,divergence_fast
23.0,0.641777233279355,0.45709474303344433,84.20208,84.20208,1.0,0.3388428315660988,0.24296396941759882,0.5459758940942038,2.192913607207535,0.2958150263342137,0.21318515442360786,0.6850365871980681,0.11374795417348607,0.32198825889264826,0.6649109147049406,0.2258660308051028,1.983089777316212,0.2801899592944369,0.2847870182555781,0.5346546173095703,0.34049818604904064,0.21638422702873567,0.11389601892395189,0.0035010637471400066,0.46494098891889735,0.003845120024089092,0.0032515894434796875,0.0021875399678641374
24.0,0.6377754677595157,0.46938627812940015,87.86304,87.86304,1.0,0.3454764413592363,0.2455652995441559,0.5435962605694747,2.2141526466196773,0.2941113595830191,0.21861917444144816,0.687735042101146,0.11374795417348607,0.32202864373909335,0.6653985111029266,0.22597046047439445,1.9840066633520739,0.279084619478446,0.2871556072953046,0.5419978499412537,0.34692556557534615,0.22212246382198061,0.11389601892395189,0.0033226907363798483,0.4458743846935249,0.0037231937970627384,0.0030255581798258827,0.0021054066032834963
25.0,0.6417041237349956,0.5125350681243559,91.524,91.524,1.0,0.32879537675845366,0.2460731233567116,0.5221524786137968,2.2153982635797558,0.3009599378465198,0.20532689325232348,0.6874204770082132,0.11374795417348607,0.32426387161036874,0.6642609409508639,0.22492062090306703,1.9747891368639146,0.2837054397434316,0.2853336885573465,0.5127611756324768,0.330113803113711,0.20841743192753903,0.11389601892395189,0.0034481240824331214,0.4675183539857244,0.0037466038841940373,0.0032277631590834975,0.002282965166813311
26.0,0.6392943995674107,0.4714883161786722,95.18496,95.18496,1.0,0.3276174366718033,0.24653467886608404,0.5412670906234954,2.2197739865668353,0.3006925404175128,0.20611559231966067,0.687669252193788,0.11374795417348607,0.32330860223125407,0.6648135560583257,0.22628196584488153,1.9867416612337387,0.28407762450315643,0.28571428571428575,0.5348346829414368,0.32911937380420214,0.20969604191081453,0.11389601892395189,0.0033157982179874645,0.45363467027709703,0.003558432666603051,0.0031363204459898776,0.0022191502791543537
27.0,0.6417091806238739,0.5142829831767255,98.84592,98.84592,1.0,0.3062678715330211,0.24902922207346398,0.5083238687110642,2.238635058426435,0.3054794615345176,0.19296579283032958,0.6904170818273762,0.11374795417348607,0.32645649291360374,0.6640479893042529,0.2254896887493445,1.979785517348973,0.2866573568617494,0.287228672387683,0.49879664182662964,0.307355345123094,0.1964298119721206,0.11389601892395189,0.0036073913348777555,0.4997359637372938,0.00380228530537995,0.0034686559249212964,0.0022190231274328413
28.0,0.6411534513961239,0.5583370820311833,102.50688,102.50688,1.0,0.33074057137566193,0.25063396190151854,0.533691018838569,2.2533367564175726,0.29534377203451206,0.2080447695212034,0.6907572031369008,0.11374795417348607,0.3245206035582245,0.6655212698398675,0.22769073721482197,1.9991105867084833,0.28360710693932284,0.28853999258251944,0.5177045464515686,0.331947635087719,0.21152655146346572,0.11389601892395189,0.00358718116600704,0.5023143903345044,0.0038006170812223154,0.0034322938410666893,0.0021860954714819155
29.0,0.6387871536058476,0.48982223462924745,106.16784,106.16784,1.0,0.3220777414067519,0.25150488254073305,0.5403183569734646,2.2630264620595617,0.2980724258820124,0.20362198836620518,0.6916179747861148,0.11374795417348607,0.32733722160569667,0.6658434519144415,0.2279059619848599,2.001000246874583,0.28633904937277016,0.2888675623800384,0.5080470442771912,0.32337657962161476,0.2073966725009512,0.11389601892395189,0.003428647289350993,0.4852042156362586,0.003476203991987193,0.003405423224929458,0.0022009249696877654
30.0,0.6385801096629415,0.5349795128058036,109.8288,109.8288,1.0,0.3349627252303726,0.25136831635668877,0.5589075532327832,2.2646958045905468,0.2949844489363311,0.21308983207502818,0.6900445682339613,0.11374795417348607,0.3252830126453087,0.6658902362705358,0.22713214886637967,1.9942062155661058,0.28162087030899174,0.2866869300911854,0.5295010805130005,0.3371609934606174,0.2175752808156268,0.11389601892395189,0.003514109155030999,0.5030410702347581,0.003593521382228959,0.003462024873383884,0.0024901031948171516
31.0,0.6361909509114081,0.5871906573958962,113.48976,113.48976,1.0,0.32734782429489157,0.252960038809672,0.5592535107926397,2.277266150977925,0.3037858935180964,0.20557456923775058,0.6921693719527429,0.11374795417348607,0.32731441331360417,0.666145504668421,0.22868101287054537,2.007805145702548,0.2818901303538175,0.2865050079072219,0.5263650417327881,0.32866834817695434,0.2094256714352367,0.11389601892395189,0.0035231749897386335,0.5105180592527176,0.0036231110414584396,0.0034541738221666013,0.0024581760388467594
32.0,0.635422903712997,0.5597655081609076,117.15072,117.15072,1.0,0.31537811045013026,0.2533464531112342,0.5274715394505802,2.2755820545241456,0.3068837823778704,0.19838460939145777,0.6933897313046034,0.11374795417348607,0.328470495043413,0.6656820785144903,0.2265248436097816,1.9888741129839815,0.28484995159728943,0.2868374334263252,0.5097118616104126,0.31681402325645186,0.20240145968147888,0.11389601892395189,0.003576030361081668,0.5233771583043563,0.0036892284605669593,0.003498857482907567,0.0022012802153598223
