round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_ece,fed_prevalence,fed_brier,fed_auprc,fed_f1_best,fed_auroc,fed_auprc_lift,fed_f1_best_threshold,fed_f1,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium
29.0,0.6377407368207458,0.786226720968657,40.15616,40.15616,0.9971592150692714,0.3341145369766609,0.11448171691107058,0.21022573808746306,0.24739635440620977,0.3106260327020522,0.6852078155724874,2.172720802155614,0.5392104505937421,0.2938130256658028,0.44789184019086414,0.10054337846950723,0.8827646428681569,0.2045002711006687,0.2048731520350429,0.5281949639320374,0.4345293247205957,0.29056666987920826,0.11389601892395189,0.0072919246821887855,1.4490421216469258,0.0051702537229706995,0.009111479633887901
30.0,0.6352443497166189,0.7213555950537812,40.15616,40.15616,0.0,0.32932241436660736,0.11448171691107058,0.20752806877781138,0.26605669931188836,0.32782275799682514,0.7010392347607531,2.3511433434038773,0.5591808443789261,0.31008660391936804,0.44789184019086414,0.10054337846950723,0.8827646428681569,0.2045002711006687,0.2048731520350429,0.5281949639320374,0.4345293247205957,0.29056666987920826,0.11389601892395189,0.0,0.0,,
31.0,0.6163123500039213,0.7523759189087277,40.15616,40.15616,0.0,0.32669579548648364,0.11448171691107058,0.20581658465154246,0.2807913001722195,0.3398442681238973,0.7141911623260745,2.4910993401294905,0.5698424968374962,0.3123390544260692,0.44789184019086414,0.10054337846950723,0.8827646428681569,0.2045002711006687,0.2048731520350429,0.5281949639320374,0.4345293247205957,0.29056666987920826,0.11389601892395189,0.0,0.0,,
32.0,0.5946682096958862,0.9957943274688512,40.15616,40.15616,0.0,0.319656905301283,0.11448171691107058,0.20072724998535188,0.2951587948938357,0.3552532501789054,0.7256660317668374,2.628322785996555,0.5812859995447373,0.3257312702557865,0.44789184019086414,0.10054337846950723,0.8827646428681569,0.2045002711006687,0.2048731520350429,0.5281949639320374,0.4345293247205957,0.29056666987920826,0.11389601892395189,0.0,0.0,,
33.0,0.6358581153875135,0.6992971999930008,43.80672,43.80672,0.9971592150692714,0.33421423318367094,0.11448171691107058,0.21171234457475469,0.2493586591423002,0.3124841318684338,0.6894016208386158,2.1906266268648045,0.5491854006426775,0.29606219556840085,0.4397855845853378,0.09580196930053547,0.841135363690826,0.20450951154489178,0.204815992730577,0.5249335169792175,0.432399980139256,0.2889975987223322,0.11389601892395189,0.006999317529827135,1.4694514747243375,0.004975739832837806,0.008764037344166142
34.0,0.6363034626690307,0.7813193137094891,43.80672,43.80672,0.0,0.31564590451276825,0.11448171691107058,0.19841989881131564,0.26966513952546234,0.3304126953890909,0.7067554425987568,2.3837775442188933,0.5514309780305385,0.30778788044302996,0.4397855845853378,0.09580196930053547,0.841135363690826,0.20450951154489178,0.204815992730577,0.5249335169792175,0.432399980139256,0.2889975987223322,0.11389601892395189,0.0,0.0,,
35.0,0.6083006325591851,0.755972344491634,43.80672,43.80672,0.0,0.33450857147389673,0.11448171691107058,0.21133039586965738,0.2873113667294803,0.3448686489127679,0.719709691745583,2.5497290524254375,0.5788883535157773,0.3136845256540741,0.4397855845853378,0.09580196930053547,0.841135363690826,0.20450951154489178,0.204815992730577,0.5249335169792175,0.432399980139256,0.2889975987223322,0.11389601892395189,0.0,0.0,,
36.0,0.5955817463110129,1.024752736204731,43.80672,43.80672,0.0,0.32116999481567576,0.11448171691107058,0.20100688089946692,0.3024986019303902,0.35317313881653206,0.7314415051993274,2.6893997802781353,0.5797670082536082,0.3238544804471038,0.4397855845853378,0.09580196930053547,0.841135363690826,0.20450951154489178,0.204815992730577,0.5249335169792175,0.432399980139256,0.2889975987223322,0.11389601892395189,0.0,0.0,,
37.0,0.6370376308607116,1.0344658442759749,47.45728,47.45728,0.9971592150692714,0.3427524713099386,0.11448171691107058,0.21644250062186196,0.2516966406965777,0.3135382142200157,0.6900590566343461,2.2073451868758385,0.5633811807758491,0.2952219639674227,0.4383755030886961,0.09596855002614882,0.842597932156231,0.2045002711006687,0.20463302960242988,0.5234833359718323,0.42787846560638765,0.28476122978936874,0.11389601892395189,0.0063453349991092955,1.406264488119632,0.0047026825487543064,0.007814065144984656
38.0,0.6327189825402675,0.754926201974211,47.45728,47.45728,0.0,0.3261290524593103,0.11448171691107058,0.2049050339718358,0.2730388023091318,0.32906552886174095,0.7100207297558534,2.4064343022949495,0.5596139532529099,0.3062770813814781,0.4383755030886961,0.09596855002614882,0.842597932156231,0.2045002711006687,0.20463302960242988,0.5234833359718323,0.42787846560638765,0.28476122978936874,0.11389601892395189,0.0,0.0,,
