round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_brier,fed_f1_best_threshold,fed_f1,fed_ece,fed_auprc_lift,fed_f1_best,fed_prevalence,fed_auprc,fed_auroc,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium
21.0,0.6408544577669086,0.49350855551344247,32.85504,32.85504,0.9971592150692714,0.20640734538746097,0.5370166686347221,0.2922128671219852,0.32557741149084657,2.1482045646906838,0.3183181006106236,0.11481807881153216,0.2437311698155864,0.6804917116433166,0.6632902408586155,0.22783519079171385,2.000378880177005,0.27584569732937686,0.28321033210332097,0.5107138752937317,0.37571638938350965,0.2388633202161434,0.11389601892395189,0.008064263749374464,1.3941285873297602,0.0060878022415296875,0.00971938870085222
22.0,0.642582370013097,0.5592405341667643,32.85504,32.85504,0.0,0.21193323309150305,0.5599000969401958,0.3025781069392821,0.3359312869349982,2.297947180995136,0.33328900497066494,0.11481807881153216,0.25955879016292027,0.696822489553733,0.6632902408586155,0.22783519079171385,2.000378880177005,0.27584569732937686,0.28321033210332097,0.5107138752937317,0.37571638938350965,0.2388633202161434,0.11389601892395189,0.0,0.0,,
23.0,0.6201168330276647,0.4768034610809616,32.85504,32.85504,0.0,0.20857280228054945,0.5658216389074564,0.3159340718202952,0.33290729458472773,2.4625907556586157,0.3473187659982171,0.11481807881153216,0.27667770005895953,0.7103456908363084,0.6632902408586155,0.22783519079171385,2.000378880177005,0.27584569732937686,0.28321033210332097,0.5107138752937317,0.37571638938350965,0.2388633202161434,0.11389601892395189,0.0,0.0,,
24.0,0.6039632212537317,0.5747560586724294,32.85504,32.85504,0.0,0.2137381381668347,0.5836560136629085,0.32052024826037206,0.33934823449272633,2.6277212673633357,0.35979410120112587,0.11481807881153216,0.29430252210322133,0.7232736708541384,0.6632902408586155,0.22783519079171385,2.000378880177005,0.27584569732937686,0.28321033210332097,0.5107138752937317,0.37571638938350965,0.2388633202161434,0.11389601892395189,0.0,0.0,,
25.0,0.6434897091983653,0.5398793295832782,36.5056,36.5056,0.9971592150692714,0.21546885980775327,0.5308570287719296,0.29768474316711846,0.3429038491389448,2.16194826579534,0.3206669297142897,0.11481807881153216,0.2457019426385314,0.6826555754912461,0.662592528990112,0.22652038076670197,1.9888349294978354,0.2754098360655738,0.28337612323491657,0.510188639163971,0.3776657497167671,0.24067632507829712,0.11389601892395189,0.007944596073091469,1.4524947435129434,0.005847697304208456,0.009728888494925755
26.0,0.6373127902149214,0.43048433531767005,36.5056,36.5056,0.0,0.2056184309911976,0.53792101167678,0.30916564659721846,0.3266372051639673,2.337931651672603,0.33412584978993065,0.11481807881153216,0.2644982219329353,0.6996132565214804,0.662592528990112,0.22652038076670197,1.9888349294978354,0.2754098360655738,0.28337612323491657,0.510188639163971,0.3776657497167671,0.24067632507829712,0.11389601892395189,0.0,0.0,,
27.0,0.6179314095856117,0.4933392601143088,36.5056,36.5056,0.0,0.1922013632508198,0.554751649114357,0.3189350878297212,0.30661570499838153,2.509585523730713,0.3486712113626181,0.11481807881153216,0.2824793548626627,0.7116381373853726,0.662592528990112,0.22652038076670197,1.9888349294978354,0.2754098360655738,0.28337612323491657,0.510188639163971,0.3776657497167671,0.24067632507829712,0.11389601892395189,0.0,0.0,,
28.0,0.5992526775887133,0.5926132954745282,36.5056,36.5056,0.0,0.20293915173747998,0.5561316557585945,0.32400140278564044,0.32418663024468636,2.648794556557356,0.36032628821054064,0.11481807881153216,0.29707942167311563,0.7252627001167037,0.662592528990112,0.22652038076670197,1.9888349294978354,0.2754098360655738,0.28337612323491657,0.510188639163971,0.3776657497167671,0.24067632507829712,0.11389601892395189,0.0,0.0,,
29.0,0.6375230005450678,0.4984082067353869,40.15616,40.15616,0.9971592150692714,0.20854568566666912,0.5261804975994164,0.29428752390838053,0.3296426641735459,2.1602881790086736,0.31560805210503523,0.11481807881153216,0.24562562524815804,0.6836067175149261,0.6636537231788726,0.22704244948277102,1.9934186605272546,0.27775270758122744,0.2851335656213705,0.5072434544563293,0.37702026666245686,0.24008614692892094,0.11389601892395189,0.00760761665870073,1.470650048693642,0.00501499861925979,0.009858427267721185
30.0,0.6379160376183453,0.5580680338081003,40.15616,40.15616,0.0,0.21286099848812223,0.5698527778788086,0.30216003196574326,0.3334737154141014,2.3141297665335756,0.3306013310097819,0.11481807881153216,0.2619923506326051,0.7000522345865577,0.6636537231788726,0.22704244948277102,1.9934186605272546,0.27775270758122744,0.2851335656213705,0.5072434544563293,0.37702026666245686,0.24008614692892094,0.11389601892395189,0.0,0.0,,
