round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_f1,fed_f1_best_threshold,fed_auprc,fed_auroc,fed_prevalence,fed_ece,fed_f1_best,fed_auprc_lift,fed_brier,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium
21.0,0.6408743692334244,0.5513837594423929,45.99296,45.99296,0.5412350858791136,0.28873080764594705,0.5698865547827815,0.24065704494078044,0.6925224208144104,0.11035568146049732,0.3589558235079116,0.31085188478810344,2.2190907639809456,0.2236149718435452,0.5596835108587143,0.19347158045799714,1.6986685073442092,0.20099414341256952,0.26514239871640594,0.5238457322120667,0.3999865334808176,0.25907207098674817,0.11389601892395189,0.005077508605286699,0.7162598165450618,,0.005077508605286699
22.0,0.6235078587330911,0.5518995866052603,47.9744,47.9744,0.5412350858791136,0.2997106282208665,0.5603965642675875,0.2539404789560066,0.7042396857392762,0.11035568146049732,0.3341428938762952,0.32745029014307964,2.3524239809294527,0.20695865037163436,0.5453109249653723,0.18686282453808467,1.640644039216617,0.2001817998182002,0.2538116591928251,0.5301645994186401,0.40098212666483696,0.26017537580269223,0.11389601892395189,0.00536452997052314,0.7768207811750472,,0.00536452997052314
23.0,0.602731922120096,0.664511177725013,49.95584,49.95584,0.5412350858791136,0.29825297292722486,0.5808519034705375,0.2706642327740955,0.7144302660703292,0.11035568146049732,0.3443544551530818,0.33574105583162767,2.5106242557311083,0.21329777218383142,0.539590370333819,0.18204596076060997,1.5983522732446132,0.20337587484561548,0.24068502661420962,0.5375174283981323,0.40534883519922693,0.2638338334845152,0.11389601892395189,0.0058827780040992235,0.8828147621825337,,0.0058827780040992235
24.0,0.5916572520502434,0.8127390523819619,51.93728,51.93728,0.5412350858791136,0.31276873573111574,0.5539425564686533,0.28284137975286566,0.7253325937887535,0.11035568146049732,0.3345644698843541,0.34745955920859983,2.634818164164578,0.2065295114699866,0.5573914789925442,0.19007983581715293,1.6688891992271373,0.20361157177077574,0.25472508591065296,0.5312221050262451,0.403221345755083,0.26173354822912676,0.11389601892395189,0.006153880140979583,0.958735920721665,,0.006153880140979583
25.0,0.6454812627073235,0.844396076612522,53.6064,53.6064,0.4559241291901578,0.2817686599587148,0.5653845405237158,0.23161599415356696,0.6834304151714814,0.11035568146049732,0.355235370384341,0.3047441044080469,2.1253530613120875,0.22246772865261458,0.5637299811773283,0.19349873323229144,1.6989069070227125,0.2030395700120471,0.2587660896582335,0.5292250514030457,0.4012225338668598,0.26012280709970353,0.11389601892395189,0.008862317026962793,0.5491892076097429,0.008862317026962793,
26.0,0.6425298890965634,0.7266268315218227,55.58784,55.58784,0.5412350858791136,0.29179975456599216,0.53778151516311,0.24619460839125312,0.6955468417765162,0.11035568146049732,0.329791350980595,0.31537990517484227,2.269599543650485,0.20513692464817643,0.5780415139879452,0.19968801189058463,1.7532483907441565,0.2038040893961008,0.26837806301050177,0.5211935639381409,0.39966870511452324,0.25860557029134934,0.11389601892395189,0.004615493363291157,0.7455731329973787,,0.004615493363291157
27.0,0.6140166586843522,0.6817416897433003,57.56928,57.56928,0.5412350858791136,0.29917828914434685,0.5702982459122331,0.2624903309649574,0.7117795627805739,0.11035568146049732,0.3434782444401815,0.33275586270838237,2.4273588898943195,0.2127190770802471,0.559289244733334,0.19057167260881713,1.6732074958305734,0.20475169866386977,0.25190839694656486,0.5413240790367126,0.40646681066541906,0.2642859817208063,0.11389601892395189,0.005219282295406816,0.8694253291469067,,0.005219282295406816
28.0,0.600082375362174,0.7874604838286191,59.55072,59.55072,0.5412350858791136,0.3123330677282115,0.5718225057841023,0.2795771196056311,0.7231053911915968,0.11035568146049732,0.3194014399705544,0.34911476067930947,2.6037871386363975,0.19795784421561827,0.5542334722089128,0.18683960839369473,1.640440202905135,0.20486787834836603,0.24738517507958163,0.5408375859260559,0.4086988378068486,0.26622364641266993,0.11389601892395189,0.006051298661655851,1.0430344917112961,,0.006051298661655851
29.0,0.5857818550313448,1.1626498370623488,61.53216,61.53216,0.5412350858791136,0.3244795288709119,0.5546420342354869,0.29975492401021925,0.734460945100243,0.11035568146049732,0.3168017781296786,0.3601158265896781,2.7951884592679095,0.19484141900863872,0.5457231368067439,0.18346166783809112,1.6107820938024888,0.20466262146995756,0.2423594785210515,0.5339818000793457,0.4062061295940001,0.26440648940908296,0.11389601892395189,0.006619251456803602,1.1877495135413483,,0.006619251456803602
30.0,0.6441029187023518,1.0865251614215858,65.18272,65.18272,0.9971592150692714,0.28246449222155484,0.5382818027979028,0.23735788894328624,0.6851758181696933,0.11035568146049732,0.33313440148222356,0.3067633731848248,2.1812877967334687,0.207953354573217,0.547042310074966,0.18347740018932698,1.6109202228730612,0.20462438311094863,0.2421721042259689,0.5285294651985168,0.40392454146192913,0.26265459074753444,0.11389601892395189,0.005118288611986925,1.2919465020531788,0.008008772888219558,0.0040744906790187
