round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_auprc,fed_ece,fed_f1_best_threshold,fed_auroc,fed_f1_best,fed_f1,fed_auprc_lift,fed_prevalence,fed_brier,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium
24.0,8.4561719172145,808.0036144260148,51.93728,51.93728,0.5412350858791136,0.24798413313394177,0.3740473722104603,0.5982041709170528,0.6843569077673154,0.32638119145015987,0.3044423681182855,2.1974883762763637,0.11404116055132484,0.23627583951696707,0.3391526605163979,0.08111935405873687,0.7122229102046146,0.19835087239761287,0.2045002711006687,0.47458505630493164,0.4193869573557957,0.2788190845941025,0.11389601892395189,0.006990502653444255,0.8573069132398814,,0.006990502653444255
25.0,9.543652740898901,902.0615969563793,53.6064,53.6064,0.4559241291901578,0.2301370763405514,0.3770535942838764,0.5841510728713408,0.667165883344018,0.29955053722954655,0.27991025738002534,2.030073443418541,0.11404116055132484,0.24012062201940348,0.33836268507868683,0.080744254540694,0.7089295596416478,0.1966764061358656,0.2045002711006687,0.47187384963035583,0.4178108859718569,0.27751051217078204,0.11389601892395189,0.007613308360396797,0.46597978053614497,0.007613308360396797,
26.0,9.442845535780432,872.0297922981636,55.58784,55.58784,0.5412350858791136,0.23394916333047483,0.3765951089884068,0.5683884323937485,0.6745676270652639,0.31048049214366913,0.2904823883575418,2.063868481875672,0.11404116055132484,0.239094398556686,0.3394377338621706,0.08106282037660192,0.7117265479729137,0.19830570231371836,0.2045002711006687,0.471513032913208,0.41802654203989886,0.27771146111976086,0.11389601892395189,0.004229401712833831,0.5355877266265452,,0.004229401712833831
27.0,8.914429448217838,849.1533268195135,57.56928,57.56928,0.5412350858791136,0.23995899057507913,0.377195564345481,0.5940541314151412,0.6814075865307112,0.3185608192704481,0.2945719691944394,2.1169984091741303,0.11404116055132484,0.2391851602869492,0.33921234570888315,0.08106729243115887,0.7117658123352609,0.197288537910257,0.2045002711006687,0.47818008065223694,0.4199699872263882,0.27963766631339587,0.11389601892395189,0.004918636564456215,0.6336636919295415,,0.004918636564456215
28.0,8.832895376413283,1145.057781704039,59.55072,59.55072,0.5412350858791136,0.2450142757877717,0.3688942628949965,0.5284789809647078,0.6860048517043604,0.32501754845907865,0.3059898695520454,2.165762025387573,0.11404116055132484,0.23233025283203118,0.33896389166329377,0.08103011717612779,0.7114394158959271,0.1953386144054215,0.2045002711006687,0.4714216887950897,0.4222598108100425,0.2817476813968439,0.11389601892395189,0.004595848218604542,0.606495049491059,,0.004595848218604542
29.0,8.319902650039326,806.6354973111233,61.53216,61.53216,0.5412350858791136,0.25101972501709074,0.36886305612151987,0.5538950168363954,0.6896216694149268,0.330711788207862,0.30902104013150106,2.231938601305335,0.11404116055132484,0.23212550878443708,0.3397486967268871,0.08113625086344656,0.7123712631046485,0.19939054896074954,0.2045002711006687,0.47989073395729065,0.41958772738504635,0.2789932473651126,0.11389601892395189,0.005170582636405245,0.6987577356630936,,0.005170582636405245
30.0,9.396105899275131,1098.2851208068382,65.18272,65.18272,0.9971592150692714,0.2291790973218495,0.37620210864409026,0.5764219018171911,0.6670471660671884,0.3036946373700416,0.28061003827462183,2.016819433641825,0.11404116055132484,0.23942550318534095,0.33911671888660866,0.08103215314707729,0.7114572915949088,0.19265885824956194,0.2045002711006687,0.464790016412735,0.41883761384711665,0.27851136032424617,0.11389601892395189,0.004756857624788913,0.9699930365895852,0.006945589793477742,0.003726020064115329
31.0,9.454908592360749,827.0191512398018,67.16416,67.16416,0.5412350858791136,0.23386962805494113,0.3761935382059202,0.5925818212221087,0.6735600260125892,0.3084307967883635,0.28944537430722095,2.0629396490589555,0.11404116055132484,0.23870757170488377,0.3396923747874687,0.0812581471103828,0.7134415046116641,0.19158683881715952,0.2045002711006687,0.4523477256298065,0.41851323160079307,0.27814557000787593,0.11389601892395189,0.0039668892100020205,0.5609079197747633,,0.0039668892100020205
32.0,9.033638844503605,785.4244204942743,69.1456,69.1456,0.5412350858791136,0.2391491233496225,0.3870836833840208,0.5985418549155085,0.6794729992426161,0.3195790751205441,0.28552617817545495,2.11422074353695,0.11404116055132484,0.24753193491571007,0.3415622305475843,0.08179599631796589,0.7181637873803199,0.1899669905620903,0.2045002711006687,0.452664315700531,0.41687750313565086,0.2766743534389064,0.11389601892395189,0.003855415309396368,0.5554745841072872,,0.003855415309396368
33.0,8.688207712765918,1037.145855752004,71.12704,71.12704,0.5412350858791136,0.24298208646217007,0.38147076447822287,0.5943488164938108,0.6814539845729135,0.3214206779448469,0.29258805121538417,2.1537621966371616,0.11404116055132484,0.24252197130656156,0.3631752979202196,0.08626006013374288,0.7573579915145104,0.1929364092646314,0.2045002711006687,0.46498581767082214,0.411855883462493,0.2719300538663075,0.11389601892395189,0.004691226167288614,0.6884372040512972,,0.004691226167288614
