round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_prevalence,fed_auprc_lift,fed_f1_best,fed_f1_best_threshold,fed_auprc,fed_auroc,fed_f1,fed_ece,fed_brier,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium
31.0,0.6298733905821815,0.3755128203835731,5.796945,40.15616,0.0,0.11512557436898088,2.1854985601954646,0.31371543473865177,0.5626114544540111,0.24850073788118776,0.6751992235090561,0.28892802005793805,0.33991566550167385,0.21712639522058963,0.6565789948581884,0.21050258502582878,1.8481996738303985,0.20886551465063863,0.2740594059405941,0.530647337436676,0.40689373270897367,0.2652828206394265,0.11389601892395189,0.0,0.0,,
32.0,0.618769991994505,0.4331625381747358,5.796945,40.15616,0.0,0.11512557436898088,2.267338193809806,0.3212160712685539,0.5526832135011651,0.25676562177793644,0.6833559980906706,0.2956435990012361,0.33604157902487936,0.21381644615394188,0.6565789948581884,0.21050258502582878,1.8481996738303985,0.20886551465063863,0.2740594059405941,0.530647337436676,0.40689373270897367,0.2652828206394265,0.11389601892395189,0.0,0.0,,
33.0,0.6440250727649589,0.30679786001509723,6.32394,43.80672,0.9971592150692714,0.11512557436898088,2.0211195130166204,0.2999795665503053,0.5005399803630713,0.23065729454896156,0.6580958670370328,0.2771998801482952,0.3303438914390944,0.20806828567490898,0.6560538379511385,0.20872477159162484,1.832590581862127,0.20485150759464973,0.27313769751693,0.5307678580284119,0.4087515805182672,0.2669977976977762,0.11389601892395189,0.009747174154169654,0.5644573494500946,0.006084133205392425,0.014486091423923687
34.0,0.6423700974277957,0.3297650959044702,6.32394,43.80672,0.0,0.11512557436898088,2.0993425093748166,0.3093323146208994,0.528531256738855,0.2389768183869903,0.6682724793540741,0.2863526395172321,0.3257315917478834,0.20845704007182786,0.6560538379511385,0.20872477159162484,1.832590581862127,0.20485150759464973,0.27313769751693,0.5307678580284119,0.4087515805182672,0.2669977976977762,0.11389601892395189,0.0,0.0,,
35.0,0.6272632012856163,0.3466916382521306,6.32394,43.80672,0.0,0.11512557436898088,2.1837248609721644,0.31660039081071883,0.5768165061177755,0.24742625333448037,0.6758331052979918,0.2835188842260309,0.35355118716941897,0.2270389079994048,0.6560538379511385,0.20872477159162484,1.832590581862127,0.20485150759464973,0.27313769751693,0.5307678580284119,0.4087515805182672,0.2669977976977762,0.11389601892395189,0.0,0.0,,
36.0,0.6145590478281399,0.4555593297243039,6.32394,43.80672,0.0,0.11512557436898088,2.2931616382015396,0.3218385101500155,0.5591783178132512,0.25974721959231994,0.6841600118838294,0.2999347333551136,0.3286170557655064,0.2096724996937985,0.6560538379511385,0.20872477159162484,1.832590581862127,0.20485150759464973,0.27313769751693,0.5307678580284119,0.4087515805182672,0.2669977976977762,0.11389601892395189,0.0,0.0,,
37.0,0.6478546702658333,0.4221851947727173,6.850935,47.45728,0.9971592150692714,0.11512557436898088,2.0175087714085063,0.2995971100322822,0.506016428442323,0.230410968297201,0.657967380362662,0.2862206007914264,0.3427946690565884,0.2161438949407131,0.6554363672770737,0.20451586425332324,1.795636635814971,0.20504430811179278,0.2718633796997659,0.5299733281135559,0.40795819339175504,0.2664051933664005,0.11389601892395189,0.010357390853245033,0.637913663580548,0.0052970194310093316,0.01712534775055689
38.0,0.6444675011903604,0.3539461778390396,6.850935,47.45728,0.0,0.11512557436898088,2.136979811725401,0.3119736415530089,0.5462758851417504,0.24326507345137632,0.6700055017480632,0.2844793357868726,0.33824963656626295,0.2150314100758843,0.6554363672770737,0.20451586425332324,1.795636635814971,0.20504430811179278,0.2718633796997659,0.5299733281135559,0.40795819339175504,0.2664051933664005,0.11389601892395189,0.0,0.0,,
39.0,0.6278541007375181,0.3403965457182116,6.850935,47.45728,0.0,0.11512557436898088,2.219406025766463,0.3170285465717731,0.5487838593593752,0.25205977571405264,0.6780645473999702,0.28917028786811955,0.35148544862792297,0.22349356825345199,0.6554363672770737,0.20451586425332324,1.795636635814971,0.20504430811179278,0.2718633796997659,0.5299733281135559,0.40795819339175504,0.2664051933664005,0.11389601892395189,0.0,0.0,,
40.0,0.616719339433046,0.41816534149551615,6.850935,47.45728,0.0,0.11512557436898088,2.2969405417688855,0.32334178538153,0.5759223077035635,0.2602708932369473,0.6859552128003348,0.2931593246849617,0.3405316250648834,0.21795503911268724,0.6554363672770737,0.20451586425332324,1.795636635814971,0.20504430811179278,0.2718633796997659,0.5299733281135559,0.40795819339175504,0.2664051933664005,0.11389601892395189,0.0,0.0,,
41.0,0.6437455105422852,0.3386125799178813,7.37793,51.10784,0.9971592150692714,0.11512557436898088,2.027273134951875,0.3013076608723227,0.5105607154412575,0.2315938571261983,0.6583508947290694,0.2848303364829714,0.33753871998810103,0.21297369901714636,0.6560516794454387,0.20584779838871248,1.8073309351238744,0.20677543097471923,0.27259015494309613,0.5297439098358154,0.40692101179056495,0.2654736503097883,0.11389601892395189,0.008614020512946557,0.5640420372947119,0.004638668067810376,0.0140868610147324
42.0,0.6451846423736969,0.40207407263410866,7.37793,51.10784,0.0,0.11512557436898088,2.1361383844479516,0.3082539039710023,0.572586959232023,0.24302824862958547,0.6699025451710485,0.2786377977846335,0.3644707222355015,0.23418568303062015,0.6560516794454387,0.20584779838871248,1.8073309351238744,0.20677543097471923,0.27259015494309613,0.5297439098358154,0.40692101179056495,0.2654736503097883,0.11389601892395189,0.0,0.0,,
43.0,0.6290017730257217,0.4368842464892313,7.37793,51.10784,0.0,0.11512557436898088,2.2504802174174046,0.3216024799962917,0.5362280496058051,0.255395168303523,0.6795107678013764,0.2977769418806804,0.3211358328804616,0.20433677632974206,0.6560516794454387,0.20584779838871248,1.8073309351238744,0.20677543097471923,0.27259015494309613,0.5297439098358154,0.40692101179056495,0.2654736503097883,0.11389601892395189,0.0,0.0,,
44.0,0.6172804753293601,0.45966427838211565,7.37793,51.10784,0.0,0.11512557436898088,2.331073469751695,0.3263630186448677,0.5550336854801667,0.26385039002391564,0.6864295553846194,0.2993522798544534,0.3254528500747268,0.20691620285919368,0.6560516794454387,0.20584779838871248,1.8073309351238744,0.20677543097471923,0.27259015494309613,0.5297439098358154,0.40692101179056495,0.2654736503097883,0.11389601892395189,0.0,0.0,,
45.0,0.6419147954896127,0.38592009059386195,7.904925,54.7584,0.9971592150692714,0.11512557436898088,2.0386838178460005,0.3021226357081607,0.508061262050329,0.23290970550182236,0.6587116852294169,0.28607627506882255,0.3283707853063143,0.20728757427474387,0.6572944140031,0.2113119033590708,1.8553054387279617,0.21608165297485685,0.2750832488779499,0.5319945216178894,0.4055399771839211,0.2638781450545186,0.11389601892395189,0.007466514142716553,0.5211938384454697,0.004317170034073187,0.011895180472174447
46.0,0.6437344582879592,0.4237872154241442,7.904925,54.7584,0.0,0.11512557436898088,2.143026132394523,0.3108702446322006,0.5521907514038458,0.2439026684757726,0.6689336183548468,0.2816243832198439,0.339236178431692,0.2162491284456419,0.6572944140031,0.2113119033590708,1.8553054387279617,0.21608165297485685,0.2750832488779499,0.5319945216178894,0.4055399771839211,0.2638781450545186,0.11389601892395189,0.0,0.0,,
