round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_auprc_lift,fed_prevalence,fed_f1_best_threshold,fed_auroc,fed_f1,fed_auprc,fed_f1_best,fed_brier,fed_ece,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium,divergence_fast
21.0,0.6418762908172595,1.101458863198539,76.88016,76.88016,1.0,2.3695153138187095,0.11369216241737486,0.5908751945507613,0.6961925965217894,0.2858923366960091,0.2701687189007698,0.3205622891521592,0.21522291179778757,0.3402482872003931,0.6594240685131797,0.2283945488885838,2.0052900096629567,0.2756244616709733,0.2806691449814126,0.5767077207565308,0.3403614558330794,0.21985396692725054,0.11389601892395189,0.005616648942555682,1.9216529135328528,0.0032609602826256974,0.008080827580195406,0.007438887042564055
22.0,0.646782049408873,1.4979074952787705,80.54112,80.54112,1.0,2.3800952519294984,0.11369216241737486,0.5787371184640535,0.6966350270589193,0.28386656068722593,0.27130437222517745,0.31969875696442057,0.21777726673169923,0.34513628880253255,0.65655206373475,0.22605854260017832,1.9847800189672749,0.2742159905811838,0.279511211294341,0.5194712281227112,0.3449357236789005,0.22251083760773988,0.11389601892395189,0.0050934118283806964,1.8258604389702668,0.0030012210310060225,0.007302269730358943,0.0049059577377505844
23.0,0.6410686939582999,1.2965399442490786,84.20208,84.20208,1.0,2.4068466287792165,0.11369216241737486,0.5579157098382008,0.6998218288699082,0.2903454355361881,0.2747048720769002,0.32542033511285723,0.20651292701452173,0.3294465097886307,0.6562451041451391,0.22526531198200803,1.9778155032127782,0.27619485294117646,0.2802297884265097,0.5358346104621887,0.32922695636786015,0.21145367849981242,0.11389601892395189,0.0048775622838829495,1.8316527915931147,0.0029063469941789447,0.006969404398572205,0.003571732263282923
24.0,0.6388570931201881,1.3115749180762104,87.86304,87.86304,1.0,2.4267692152361766,0.11369216241737486,0.5770217471146006,0.7003596048681516,0.2872229975028018,0.2767190492260966,0.32797569005763566,0.2114877361983708,0.3361106908832391,0.6568890165140243,0.22602620474163185,1.9844960945698114,0.274604041507373,0.2816046028448138,0.5704219341278076,0.3361075150461783,0.21682919487137553,0.11389601892395189,0.004332913133746991,1.7002158293962566,0.0026850552734195084,0.006081673366795207,0.0038460291457432143
25.0,0.6413697395083836,1.2499600111540172,91.524,91.524,1.0,2.4124004660804674,0.11369216241737486,0.5568308312862146,0.7004200666938202,0.2938315687986089,0.2751777978654178,0.32870270138416313,0.19263270717349426,0.3012675170760589,0.6532112741864956,0.22441116492618585,1.9703161449042803,0.27071233850894866,0.2767932489451477,0.5335920453071594,0.301175921689344,0.1987938285034667,0.11389601892395189,0.004169509929889817,1.6988040961550723,0.0024940920590622853,0.005958089764630883,0.005368229431685823
26.0,0.6509630751752014,1.972850798797488,95.18496,95.18496,1.0,2.440831614110902,0.11369216241737486,0.5788745155415521,0.7028737453707754,0.2851945150170928,0.27849119938831374,0.33131838088392374,0.21333340285412847,0.3390453150986905,0.6529414484245895,0.22479685403134742,1.9737024713870268,0.2676587717459652,0.27898290475506393,0.5507848858833313,0.33920556038239447,0.21891242182386306,0.11389601892395189,0.004179376659199756,1.77096325497223,0.0025450594409129655,0.005938042125779263,0.0034636267007677386
27.0,0.6446446632205494,1.3859523658454442,98.84592,98.84592,1.0,2.4470069220633888,0.11369216241737486,0.5752141855030942,0.7041813111174129,0.2916034379177368,0.27949558829666554,0.329524230125425,0.20352648504775517,0.3220995467751844,0.6531578511704297,0.22421576231024554,1.9686005220248646,0.27068517891409866,0.27802197802197803,0.5413128137588501,0.3226635167654689,0.21010121745672775,0.11389601892395189,0.0039861532952518465,1.7554177722822715,0.0023211063011334136,0.0057886476544337555,0.004336036053775316
28.0,0.6437186696836099,2.014871795072458,102.50688,102.50688,1.0,2.4437188438684476,0.11369216241737486,0.5611453426796046,0.705609696306884,0.2946430926930749,0.27907508170370054,0.3278300393096538,0.20188385118841218,0.32011144409969866,0.6542168994029424,0.22310534639737745,1.9588511390055203,0.27284249337481276,0.2789115646258503,0.5263838171958923,0.3201334243101847,0.20831553936054326,0.11389601892395189,0.0037807579428316643,1.7297077704242838,0.0021963690740021743,0.005497114636598911,0.0041550473696953475
29.0,0.6436002938203148,1.5475581042214013,106.16784,106.16784,1.0,2.4853383922092935,0.11369216241737486,0.5760930794363018,0.7082578509164986,0.2919806706556461,0.28352744021204485,0.33120944099824495,0.20149526065690943,0.3178070012509555,0.6509589738845407,0.22131055139788486,1.9430929499445755,0.27316624511381926,0.2773662551440329,0.53895103931427,0.31818066905602194,0.20922210262821297,0.11389601892395189,0.003435473711535462,1.6280377574785234,0.001955115800618618,0.00504431451473385,0.004175397485407233
30.0,0.644994043793747,1.835474791695659,109.8288,109.8288,1.0,2.516598551850105,0.11369216241737486,0.5553377499586387,0.7111896715888831,0.2962679673619671,0.28705841505211804,0.3385522431998377,0.20488295640814752,0.3257723644552165,0.651294960356031,0.22260785572080882,1.9544832016423996,0.27110555618679694,0.2782911477166198,0.5327833890914917,0.3263139411305998,0.21243834766895028,0.11389601892395189,0.0036615679048389656,1.7976458125885983,0.002067175978849294,0.005400227166105689,0.004430648480824146
31.0,0.6529427822488971,2.1694292434276115,113.48976,113.48976,1.0,2.5215105310343198,0.11369216241737486,0.5589878127377552,0.7086805023622647,0.2934676761920195,0.28781697170527565,0.3358712648092472,0.2051631904799803,0.32477598652966366,0.654405153728525,0.22371828894062962,1.964232736615718,0.272887323943662,0.2787456445993031,0.5261484980583191,0.32520085130425036,0.21234069143786438,0.11389601892395189,0.003461630416443068,1.759164213080112,0.001912706703282674,0.005162157134254348,0.003712426708121389
32.0,0.6492856072296868,1.671705203611106,117.15072,117.15072,1.0,2.539810004616223,0.11369216241737486,0.5780531692700001,0.7109944458934695,0.29837178222868593,0.2898779434741407,0.3415028376844766,0.19719578317233832,0.310197636384824,0.6521882052321274,0.2223248433345526,1.9519983703995694,0.2764774044032445,0.2796303736440337,0.5334414839744568,0.31107191165421605,0.2057345430090369,0.11389601892395189,0.0033509499377561577,1.7580562793682475,0.0017775132573320024,0.0050855881714998085,0.0050338263198481574
33.0,0.6519404031231034,2.271638821104845,120.81168,120.81168,1.0,2.5385075568476063,0.11369216241737486,0.5638255346935804,0.7119326932403783,0.2994049859635016,0.2906481320797032,0.33851909187417,0.20406846048621613,0.323555017367308,0.6493687450081418,0.2211724272941284,1.941880228858611,0.2754300034172457,0.28016216971899904,0.5450302958488464,0.32433345050054013,0.21242310302410797,0.11389601892395189,0.003622610538774885,1.9678421274275024,0.0017558503063758754,0.005686649396265677,0.003569776441478956
34.0,0.6440860856762367,2.4484064948211595,124.47264,124.47264,1.0,2.5655297260548173,0.11369216241737486,0.5521683224124807,0.7126557006535165,0.2994402140159775,0.29344622240108126,0.3374987175921822,0.19856087852730486,0.31343467816850484,0.6491956755191671,0.2200915155773859,1.932389890855979,0.2725492454786315,0.27818254073387205,0.5295289754867554,0.3144209244001492,0.20740976552221907,0.11389601892395189,0.003546210573409797,1.9871690306063101,0.0017118477783033214,0.005576198917085074,0.004272031322831468
35.0,0.65243501542804,3.090062597639086,128.1336,128.1336,1.0,2.565679242469893,0.11369216241737486,0.5808395080570911,0.714442854941129,0.3007787333688996,0.2937715801329449,0.3402385153974528,0.20640782263816518,0.3283759245546819,0.6501804937446254,0.21875773163183823,1.9206793503283224,0.271499176276771,0.2778421526973091,0.528614342212677,0.3291807209669145,0.21487200436191778,0.11389601892395189,0.003357490184221086,1.941689651188426,0.0016175568880332407,0.00528319055737645,0.004037381543683489
36.0,0.6464131078681945,1.9426984789988222,131.79456,131.79456,1.0,2.5863328835302513,0.11369216241737486,0.5714223755599194,0.7149777422565201,0.30047581919098826,0.29588312421338586,0.34263740068539783,0.19899729536906166,0.31784911060274745,0.6477189815326787,0.21886616381865115,1.9216313782204064,0.27003214668412906,0.27470002552974215,0.5120646953582764,0.31881056055781753,0.2078395328477463,0.11389601892395189,0.0030962481891756728,1.8455114508878978,0.0014792047823620582,0.0048871811598845466,0.0040672856895510355
37.0,0.6531484344503369,2.208212167639874,135.45552,135.45552,1.0,2.6380520588751577,0.11369216241737486,0.5693747985595646,0.7174349025711512,0.304705034983671,0.3014153263875472,0.3440668035380514,0.2019264966122892,0.3212881275395438,0.6459750093229877,0.2168576286997819,1.9039965641343202,0.26802259887005647,0.27559617306868484,0.5460285544395447,0.32211393970668134,0.21141758999462154,0.11389601892395189,0.0027411761717370878,1.6829314119495393,0.0014300321438541043,0.004186783871430191,0.005288992543017968
38.0,0.6528823864254537,2.461977530536961,139.11648,139.11648,1.0,2.6560293669746717,0.11369216241737486,0.5888131001196757,0.7187003054144663,0.3016695899202278,0.303578240039751,0.3458608077824734,0.21053057842131803,0.3359876035469706,0.6452778747292645,0.21799307561084375,1.9139657177692684,0.26611004067651467,0.27456763641238774,0.5400679707527161,0.3363329241571255,0.2195100756603537,0.11389601892395189,0.002730425848689448,1.7270285814784074,0.0013750622777423266,0.004224159666910137,0.004189912723629375
39.0,0.6532308264574869,2.002530684296824,142.77744,142.77744,1.0,2.681984412339623,0.11369216241737486,0.5844440319814282,0.7198586780807242,0.30320631353014627,0.30631385800977745,0.35023291495935105,0.1964878754849818,0.31096316326421164,0.6463191403886586,0.21524734235736853,1.889858349667943,0.270062805303559,0.2729637234770705,0.5324003100395203,0.31117432092966146,0.20620655261807827,0.11389601892395189,0.002532950227985521,1.6479338729204756,0.0012309412471450307,0.0039615087857029,0.005836886240580344
40.0,0.6570450933218291,3.6714206250449677,146.4384,146.4384,1.0,2.6893654175722763,0.11369216241737486,0.5707760749671456,0.7211475453338929,0.3064377793209529,0.30762393856027376,0.3529993602630585,0.19223485949338054,0.3029258677550922,0.6423120377001593,0.21381392713169484,1.8772730526644474,0.26439729540685475,0.267328177440537,0.5452052354812622,0.30373365094776494,0.2031741280291398,0.11389601892395189,0.0028911941738573033,1.933828116028053,0.0013351949023605013,0.0045951964766442555,0.00717654431257251
41.0,0.6653703322598863,3.506019676794401,150.09936,150.09936,1.0,2.6979087258166823,0.11369216241737486,0.582122824902725,0.7228673306448079,0.30718424791298815,0.30905457422699606,0.3510642158482159,0.20302611948749844,0.3218244883095252,0.6453557189784203,0.21632643504999224,1.8993327167513459,0.26510289887143174,0.2720936715918595,0.5467591285705566,0.3229487205184616,0.21398747310634567,0.11389601892395189,0.002680482497223431,1.844578462408208,0.0012888945416738482,0.004204701932006116,0.005022636278842347
42.0,0.6672083476895725,3.2281822198766816,153.76032,153.76032,1.0,2.6906629681403933,0.11369216241737486,0.5569424256386906,0.7230745456863269,0.31464207231497926,0.3084317795432611,0.3509278180194402,0.20095027282527347,0.321126378133987,0.6415709549264353,0.2135049054675952,1.8745598615712105,0.2642029151842075,0.268713524486171,0.5175042152404785,0.32171493477517904,0.21112491504933154,0.11389601892395189,0.002503015645339656,1.7688754375467397,0.001210402155139754,0.003919094078449335,0.004024105043768467
43.0,0.6601164311756331,2.713917761462393,157.42128,157.42128,1.0,2.7215524514732206,0.11369216241737486,0.571194292673871,0.7243048252424387,0.3101798893176155,0.311105008504698,0.3526864893611982,0.199026379746021,0.317946857268145,0.6435501540595795,0.21534629393100274,1.890727138362834,0.26600872159742944,0.2710678430179495,0.5537339448928833,0.3188161287001128,0.2095656412497399,0.11389601892395189,0.0024852594700002627,1.803014966911178,0.001121516563842992,0.003973620715341835,0.005535232162063036
44.0,0.6524551936895621,2.885254772364866,161.08224,161.08224,1.0,2.733450971292688,0.11369216241737486,0.5524348949519275,0.7254646513273267,0.311951550274723,0.31308640279118394,0.3531757201794418,0.1960367619397924,0.3111833468160402,0.6421055992190026,0.214256492555777,1.8811587497086757,0.26444188722669737,0.2685614849187935,0.5453994870185852,0.311675718910829,0.2070583590878587,0.11389601892395189,0.002477505650686673,1.845374820314646,0.0011331485343698661,0.003943142598785503,0.003956578257194536
45.0,0.6747316001058061,3.59917829417027,164.7432,164.7432,1.0,2.7269684504471847,0.11369216241737486,0.5658519848904447,0.7256496596115525,0.3100151887478035,0.3119552841572645,0.3522448464680145,0.19431428166505077,0.3080062478717455,0.6437885559943235,0.21527897477453967,1.890136080333773,0.26362366092221706,0.271376591873863,0.5491154193878174,0.3085759617645669,0.20523162207627046,0.11389601892395189,0.002433344681928275,1.8613210995135887,0.0011116575508743527,0.0038674955290807444,0.0045868666579803085
46.0,0.6665556816479807,3.4835855486386196,168.40416,168.40416,1.0,2.7417510311117392,0.11369216241737486,0.5580335471721651,0.7261828953131666,0.30637610339605925,0.31399223701471246,0.3551820995196265,0.1999413089114393,0.3174921184129959,0.6422926989950248,0.21303339791905151,1.870420054464708,0.2638888888888889,0.27160835292490665,0.534686267375946,0.3175921121278616,0.21095739219714374,0.11389601892395189,0.002327306863352002,1.825530763297138,0.00105176124406576,0.003706473093315217,0.004988648740514773
47.0,0.6642618047749301,3.34922366377837,172.06512,172.06512,1.0,2.784585957912582,0.11369216241737486,0.5463798410100009,0.7289538429732663,0.3143027321260467,0.3193293675688781,0.35602284843455057,0.1946834006179042,0.31114699730899126,0.6407954239076794,0.21038193318861653,1.8471403581637744,0.26508570086874855,0.2695907996790586,0.5220732688903809,0.31113975793685705,0.20563968779650565,0.11389601892395189,0.0021726609796817514,1.746074389822752,0.0010053896879794215,0.003430751069203933,0.004574311367864943
48.0,0.659417833798938,2.9437251647781877,175.72608,175.72608,1.0,2.774433727504227,0.11369216241737486,0.5610690450533253,0.7268894674077743,0.30608958434942074,0.3177489698835702,0.3533708372315982,0.20586405905075483,0.32740347035284945,0.6406293068149697,0.21094825077182577,1.8521125915092382,0.2601505353546062,0.2632428466617755,0.5569080710411072,0.32793022778179126,0.21717888007598493,0.11389601892395189,0.001977756520261253,1.6282209767759923,0.0009401095849481571,0.003094372076677604,0.0040350919657366185
49.0,0.6635595402556852,4.207794590816158,179.38704,179.38704,1.0,2.785094150797575,0.11369216241737486,0.5749490075190937,0.7300438510387022,0.3023283167577943,0.31896300479335143,0.35666524855487497,0.2090405065952948,0.33235579770175555,0.6410351058865011,0.21258166254734975,1.8664538458476765,0.2613404168369432,0.2643769968051118,0.5448487997055054,0.33317118970410337,0.2207389202157964,0.11389601892395189,0.0019648229407292386,1.6550140094595918,0.0009263349083539545,0.003078613938472733,0.0044980546212084645
50.0,0.6619574796361983,3.1792963959800895,183.048,183.048,1.0,2.8323448514506118,0.11369216241737486,0.5653130888638724,0.7305892889313541,0.3152019220847846,0.3247799693354109,0.35971039762706813,0.1957855266718546,0.31317420950905284,0.6382363648073417,0.20856300195052746,1.8311702544211357,0.26121703390798034,0.264367816091954,0.5256025195121765,0.31363374688016427,0.2072929962463883,0.11389601892395189,0.0020855787630529167,1.79963419629712,0.0009258912987163929,0.0033290434442684474,0.003625281287293
