round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_auprc,fed_prevalence,fed_auroc,fed_f1_best,fed_ece,fed_brier,fed_f1,fed_auprc_lift,fed_f1_best_threshold,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium
21.0,0.1622373832885571,0.05187440469214429,32.85504,32.85504,0.9971592150692714,0.24324704797324193,0.11412564522220824,0.6826953251963754,0.3167336867886446,0.3713094170263803,0.23423074039307223,0.2887483144695162,2.1764427407121336,0.5261624605345302,0.6613595955542613,0.2259448755750617,1.9837820295187367,0.2750120831319478,0.28205128205128205,0.5043305158615112,0.37852216874912953,0.24221060970951808,0.11389601892395189,0.008093356786564981,1.3157169494079426,0.006170031058354947,0.009663591347396288
22.0,0.16205657052140482,0.05115418343714817,32.85504,32.85504,0.0,0.25685136693240607,0.11412564522220824,0.6979021804065874,0.3336103987322359,0.3772515029589356,0.23808859822476974,0.2925970981118269,2.3076491043415337,0.5290095395087656,0.6613595955542613,0.2259448755750617,1.9837820295187367,0.2750120831319478,0.28205128205128205,0.5043305158615112,0.37852216874912953,0.24221060970951808,0.11389601892395189,0.0,0.0,,
23.0,0.1568436813797236,0.04414115364222075,32.85504,32.85504,0.0,0.2729186444968864,0.11412564522220824,0.7127959845357392,0.3398523117587295,0.3733726883229479,0.2342142402237014,0.31111499357463246,2.462159932394942,0.5315912381352969,0.6613595955542613,0.2259448755750617,1.9837820295187367,0.2750120831319478,0.28205128205128205,0.5043305158615112,0.37852216874912953,0.24221060970951808,0.11389601892395189,0.0,0.0,,
24.0,0.15330010683432108,0.05283581801556023,32.85504,32.85504,0.0,0.29107656803103965,0.11412564522220824,0.7235156581697242,0.35376180989113387,0.3690128305995628,0.23026927723150656,0.31561325208887503,2.6383201325658763,0.5322384436312421,0.6613595955542613,0.2259448755750617,1.9837820295187367,0.2750120831319478,0.28205128205128205,0.5043305158615112,0.37852216874912953,0.24221060970951808,0.11389601892395189,0.0,0.0,,
25.0,0.16160000882052025,0.04946875000586857,36.5056,36.5056,0.9971592150692714,0.2469449229267685,0.11412564522220824,0.6849778855768395,0.3172454584584545,0.37636104256503755,0.23828448811359584,0.2927864294684042,2.2086081488951943,0.5151327343712252,0.6603794582743028,0.22525975583377061,1.9777667205749838,0.2737850787132101,0.2839242053789731,0.5061016082763672,0.3802812161524335,0.24379342225280903,0.11389601892395189,0.007817819198984659,1.3457616050727665,0.005854799150931648,0.009445507901140494
26.0,0.1610473889784537,0.043946273600498985,36.5056,36.5056,0.0,0.26351383285522795,0.11412564522220824,0.7007865888899558,0.3360215966406016,0.3703221467569945,0.23244988136360129,0.30576136978796614,2.368059149047966,0.5333564962568441,0.6603794582743028,0.22525975583377061,1.9777667205749838,0.2737850787132101,0.2839242053789731,0.5061016082763672,0.3802812161524335,0.24379342225280903,0.11389601892395189,0.0,0.0,,
27.0,0.15622140132449958,0.045524783279411105,36.5056,36.5056,0.0,0.2808409719162309,0.11412564522220824,0.712205956979035,0.34756599217035417,0.3630917671738172,0.22689637576920277,0.3137776449532634,2.5364609111588576,0.5270826726378953,0.6603794582743028,0.22525975583377061,1.9777667205749838,0.2737850787132101,0.2839242053789731,0.5061016082763672,0.3802812161524335,0.24379342225280903,0.11389601892395189,0.0,0.0,,
28.0,0.15095749061036917,0.05663906363541665,36.5056,36.5056,0.0,0.2971416070555157,0.11412564522220824,0.7273666296736235,0.36371406571198467,0.36784726156649483,0.2292314367521278,0.313623958831056,2.6940067464244004,0.5413612636603742,0.6603794582743028,0.22525975583377061,1.9777667205749838,0.2737850787132101,0.2839242053789731,0.5061016082763672,0.3802812161524335,0.24379342225280903,0.11389601892395189,0.0,0.0,,
29.0,0.16092153173022486,0.05111197456043368,40.15616,40.15616,0.9971592150692714,0.2473965678586303,0.11412564522220824,0.6870405943393182,0.32193464780045744,0.369930608328195,0.23311557050385193,0.2934190031043786,2.2060174533856496,0.5245876952688745,0.6603964376825098,0.22676254855988381,1.9909611477403144,0.273770305577644,0.28312883435582825,0.5073820352554321,0.37925985236671655,0.24281751220048595,0.11389601892395189,0.007623467702644968,1.3903133708517998,0.005423825444097761,0.009476526989656422
30.0,0.160423897294053,0.05396157005180319,40.15616,40.15616,0.0,0.2654285323785459,0.11412564522220824,0.7031944148471401,0.33488101099699513,0.37277607617605013,0.23392231914946954,0.2987698083656239,2.3849072593010545,0.5443548667412867,0.6603964376825098,0.22676254855988381,1.9909611477403144,0.273770305577644,0.28312883435582825,0.5073820352554321,0.37925985236671655,0.24281751220048595,0.11389601892395189,0.0,0.0,,
